field,name,ra,dec
286,UW286,178.90530580551575,7.3053600088326025
287,UW287,181.39551999121915,7.3053600088326025
288,UW288,183.8857341769225,7.3053600088326025
289,UW289,186.37594836262588,7.3053600088326025
290,UW290,188.86616254832927,7.3053600088326025
291,UW291,191.35637673403266,7.3053600088326025
292,UW292,193.84659091973603,7.3053600088326025
293,UW293,196.3368051054394,7.3053600088326025
294,UW294,198.8270192911428,7.3053600088326025
295,UW295,201.31723347684618,7.3053600088326025
296,UW296,203.80744766254955,7.3053600088326025
297,UW297,206.29766184825291,7.3053600088326025
298,UW298,208.7878760339563,7.3053600088326025
299,UW299,211.2780902196597,7.3053600088326025
300,UW300,213.76830440536307,7.3053600088326025
301,UW301,216.25851859106643,7.3053600088326025
302,UW302,218.74873277676983,7.3053600088326025
303,UW303,221.23894696247322,7.3053600088326025
304,UW304,223.7291611481766,7.3053600088326025
305,UW305,226.21937533387995,7.3053600088326025
306,UW306,228.70958951958335,7.3053600088326025
307,UW307,231.19980370528674,7.3053600088326025
308,UW308,233.6900178909901,7.3053600088326025
309,UW309,236.18023207669347,7.3053600088326025
310,UW310,238.67044626239687,7.3053600088326025
311,UW311,241.16066044810026,7.3053600088326025
312,UW312,243.65087463380362,7.3053600088326025
313,UW313,246.141088819507,7.3053600088326025
314,UW314,248.63130300521038,7.3053600088326025
315,UW315,116.50796801274905,9.110360008832602
316,UW316,119.00952466699532,9.110360008832602
317,UW317,121.51108132124159,9.110360008832602
318,UW318,124.01263797548786,9.110360008832602
319,UW319,126.51419462973413,9.110360008832602
320,UW320,129.01575128398042,9.110360008832602
321,UW321,131.51730793822668,9.110360008832602
322,UW322,134.01886459247294,9.110360008832602
323,UW323,136.52042124671922,9.110360008832602
324,UW324,139.0219779009655,9.110360008832602
325,UW325,141.52353455521177,9.110360008832602
326,UW326,144.02509120945803,9.110360008832602
327,UW327,146.5266478637043,9.110360008832602
328,UW328,149.0282045179506,9.110360008832602
329,UW329,151.52976117219686,9.110360008832602
330,UW330,154.03131782644311,9.110360008832602
331,UW331,156.5328744806894,9.110360008832602
332,UW332,159.0344311349357,9.110360008832602
333,UW333,161.53598778918195,9.110360008832602
334,UW334,164.0375444434282,9.110360008832602
335,UW335,166.5391010976745,9.110360008832602
336,UW336,169.04065775192078,9.110360008832602
337,UW337,171.54221440616703,9.110360008832602
338,UW338,174.0437710604133,9.110360008832602
339,UW339,176.54532771465958,9.110360008832602
340,UW340,179.04688436890586,9.110360008832602
341,UW341,181.54844102315212,9.110360008832602
342,UW342,184.04999767739838,9.110360008832602
343,UW343,186.55155433164467,9.110360008832602
344,UW344,189.05311098589095,9.110360008832602
345,UW345,191.5546676401372,9.110360008832602
346,UW346,194.05622429438347,9.110360008832602
347,UW347,196.55778094862976,9.110360008832602
348,UW348,199.05933760287604,9.110360008832602
349,UW349,201.5608942571223,9.110360008832602
350,UW350,204.06245091136856,9.110360008832602
351,UW351,206.56400756561484,9.110360008832602
352,UW352,209.06556421986113,9.110360008832602
353,UW353,211.5671208741074,9.110360008832602
354,UW354,214.06867752835365,9.110360008832602
355,UW355,216.57023418259993,9.110360008832602
356,UW356,219.07179083684622,9.110360008832602
357,UW357,221.57334749109248,9.110360008832602
358,UW358,224.07490414533873,9.110360008832602
359,UW359,226.57646079958502,9.110360008832602
360,UW360,229.0780174538313,9.110360008832602
361,UW361,231.57957410807757,9.110360008832602
362,UW362,234.08113076232382,9.110360008832602
363,UW363,236.5826874165701,9.110360008832602
364,UW364,239.0842440708164,9.110360008832602
365,UW365,241.58580072506265,9.110360008832602
366,UW366,244.0873573793089,9.110360008832602
367,UW367,246.5889140335552,9.110360008832602
368,UW368,249.09047068780146,9.110360008832602
369,UW369,115.57603986932946,10.915360008832602
370,UW370,118.09155052793747,10.915360008832602
371,UW371,120.60706118654548,10.915360008832602
372,UW372,123.12257184515349,10.915360008832602
373,UW373,125.6380825037615,10.915360008832602
374,UW374,128.1535931623695,10.915360008832602
375,UW375,130.6691038209775,10.915360008832602
376,UW376,133.18461447958552,10.915360008832602
377,UW377,135.70012513819353,10.915360008832602
378,UW378,138.21563579680154,10.915360008832602
379,UW379,140.73114645540954,10.915360008832602
380,UW380,143.24665711401755,10.915360008832602
381,UW381,145.76216777262556,10.915360008832602
382,UW382,148.27767843123357,10.915360008832602
383,UW383,150.79318908984158,10.915360008832602
384,UW384,153.30869974844958,10.915360008832602
385,UW385,155.8242104070576,10.915360008832602
386,UW386,158.3397210656656,10.915360008832602
387,UW387,160.8552317242736,10.915360008832602
388,UW388,163.37074238288162,10.915360008832602
389,UW389,165.88625304148962,10.915360008832602
390,UW390,168.40176370009763,10.915360008832602
391,UW391,170.91727435870564,10.915360008832602
392,UW392,173.43278501731365,10.915360008832602
393,UW393,175.94829567592166,10.915360008832602
394,UW394,178.46380633452966,10.915360008832602
395,UW395,180.97931699313767,10.915360008832602
396,UW396,183.49482765174568,10.915360008832602
397,UW397,186.0103383103537,10.915360008832602
398,UW398,188.5258489689617,10.915360008832602
399,UW399,191.0413596275697,10.915360008832602
400,UW400,193.5568702861777,10.915360008832602
